HP ZBook Firefly 14 G7,5CG0440QD3,LAPTOP,Intel(R) Core(TM) i7-10510U CPU @ 1.80GHz,SSD 476.9 GB,16 GB
HP 280 G3 SFF,8CG901494H,COMPU  DE MARCA,Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,SSD 931.5 GB,8.0 GB
Active cool,940233065790,COMPU  ARMADA,Intel(R) Core(TM) i5-3330 CPU @ 3.00GHz,465.8 GB,8.0 GB
Active cool,PENDIENTE,COMPU  ARMADA,Intel(R) Core(TM) i5-3330 CPU @ 3.00GHz,465.8 GB,8.0 GB
Active cool,940233074078,COMPU  ARMADA,Intel(R) Core(TM) i5-3330 CPU @ 3.00GHz,465.8 GB,8.0 GB
Active cool,940233110417,COMPU  ARMADA,Intel(R) Core(TM) i5-3330 CPU @ 3.00GHz,465.8 GB,8.0 GB
HP Compaq Elite 8300 CMT,MXL31417XB,COMPU  DE MARCA,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz,480 GB SSD,8.0 GB
HP Compaq Elite 8300 CMT,MXL31417XV,COMPU  DE MARCA,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz,480 GB SSD,8.0 GB
HP Compaq Elite 8300 CMT,MXL31417Y1,COMPU  DE MARCA,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz,480 GB SSD,8.0 GB
HP Compaq Elite 8300 CMT,MXL31417X2,COMPU  DE MARCA,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz,480 GB SSD,8.0 GB
HP Compaq Elite 8300 CMT,MXL31417Y2,COMPU  DE MARCA,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz,480 GB SSD,8.0 GB
HP Compaq Elite 8300 CMT,MXL31417WW,COMPU  DE MARCA,Intel(R) Core(TM) i5-2310 CPU @ 2.90GHz,480 GB SSD,8.0 GB
ACTIVE COOL,940233125171,COMPU  ARMADA,Intel(R) Core(TM) i5-3330 CPU @ 3.00GHz,465.8 GB,8.0 GB
VCLOUDPOINT S100,A3-8QU0-3989,TERMINAL,N/A,N/A,N/A
ACTIVE COOL,940233096939,COMPU  ARMADA,Intel(R) Core(TM) i5-3330 CPU @ 3.00GHz,2TB,8.0 GB
VCLOUDPOINT S100,A5-8QV2-2205,TERMINAL,N/A,N/A,N/A
VCLOUDPOINT S100,A3-BQU0-3984,TERMINAL,N/A,N/A,N/A
VCLOUDPOINT S100,A5-8QU7-3542,TERMINAL,N/A,N/A,N/A
VCLOUDPOINT S100,A5-8QU7-3592,TERMINAL,N/A,N/A,N/A
VCLOUDPOINT S100,A58QU7-3612,TERMINAL,N/A,N/A,N/A
SUNDE,H4- 6553483,TERMINAL,N/A,N/A,N/A
HP Compaq Elite 8300,MXL31417XZ,COMPU  DE MARCA,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz,465.8 GB,4.0 GB
VCLOUDPOINT S100,A3-8QTK-6754,TERMINAL,N/A,N/A,N/A
VCLOUDPOINT S100,A3-8QTH-4134,TERMINAL,N/A,N/A,N/A
SUNDE,"H4- 	6660097",TERMINAL,N/A,N/A,N/A
SUNDE,"H4-	6549953",TERMINAL,N/A,N/A,N/A
SUNDE,A3-8QTK-6754,TERMINAL,N/A,N/A,N/A
SUNDE,H4-6782377,TERMINAL,N/A,N/A,N/A
HP Compaq Elite 8300,MXL31417WR,COMPU  DE MARCA,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz,465.8 GB,4.0 GB
HP Compaq Elite 8300 ,MXL31417Y0,COMPU  DE MARCA,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz,SSD 860 GB ,6.0 GB
ACTIVE COOL,940233064100,COMPU  ARMADA,Intel(R) Core(TM) i5-3340 CPU @ 3.10GHz,465.8 GB,8.0 GB
active cool,940233074227,COMPU  ARMADA,Intel(R) Core(TM) i5-3330 CPU @ 3.00GHz,465.8 GB,8.0 GB
active cool,940233127814,COMPU  ARMADA,Intel(R) Core(TM) i5-3340 CPU @ 3.10GHz,465.8 GB,4.0 GB
