R-UPR1008,220530-31408027,
R-UPR1008,220520-3140159,
R-UPR1008,220520-3140114,
PSH S1000,E1511039812,
PSH S1000,E1511039591,
PSH S1000,E1511062444,
"ISB 	XRN21801",E14J06482,NO RETIENE CARGA
Tripplite,2945CVLOM87C604015,
Sola basic XRN-21-801,E12L02625,
"PSH 	S1000",1504000704,NO RETIENE CARGA
Sola Basic NBKS1000,E16C03063,
"Sola Basic 	XRN-21-801",E12L02625,
"Sola Basic 	XRN-21-801",E13D03614,
"Sola Basic 	XRN-21-801",E12L02625,
IBS XRN21801,E13083263,
IBS XRN21801,E13083263,
IBS XRN21801,e13d03255,
IBS XRN21801,E13D03046,
UPS TRIPPE LITE,NO SE VE,
COMPAS,71090358,
PSH 1000,e1511062459,
"ciber Power 	UT1000GU",320528BS30004230,
microsoft 500,x6219c9-003,
IBS XRN21801,E13D03252,
